Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Paul Konchesky,Left-Back,24,Charlton,Premier League,West Ham,Premier League,2005-2006,3500000.0,2250000
Darren Carter,Central Midfield,21,Birmingham,Premier League,West Brom,Premier League,2005-2006,2250000.0,2250000
Gustavo Nery,Left-Back,27,Werder Bremen,1.Bundesliga,Corinthians,Série A,2005-2006,2500000.0,2200000
Santiago Solari,Left Midfield,28,Real Madrid,LaLiga,Inter,Serie A,2005-2006,7000000.0,2000000
Patrick Owomoyela,Right-Back,25,Arm. Bielefeld,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,3250000.0,2000000
Miguel Ángel,Defensive Midfield,26,Málaga CF,LaLiga,Real Betis,LaLiga,2005-2006,2000000.0,2000000
Javier Arizmendi,Centre-Forward,21,Atlético Madrid,LaLiga,Dep. La Coruña,LaLiga,2005-2006,1500000.0,2000000
Júan,Attacking Midfield,23,Fluminense,Série A,Flamengo,Série A,2005-2006,250000.0,2000000
Andriy Shevchenko,Centre-Forward,29,AC Milan,Serie A,Chelsea,Premier League,2006-2007,51000000.0,43300000
Michael Carrick,Defensive Midfield,25,Spurs,Premier League,Man Utd,Premier League,2006-2007,26500000.0,27200000
Mahamadou Diarra,Defensive Midfield,25,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,2006-2007,20000000.0,26000000
Joaquín,Right Winger,25,Real Betis,LaLiga,Valencia CF,LaLiga,2006-2007,22000000.0,25000000
Obafemi Martins,Centre-Forward,21,Inter,Serie A,Newcastle,Premier League,2006-2007,12000000.0,16000000
Dimitar Berbatov,Centre-Forward,25,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2006-2007,17000000.0,15700000
Damien Duff,Right Midfield,27,Chelsea,Premier League,Newcastle,Premier League,2006-2007,15000000.0,15500000
Ruud van Nistelrooy,Centre-Forward,30,Man Utd,Premier League,Real Madrid,LaLiga,2006-2007,32000000.0,15000000
Ricardo Oliveira,Centre-Forward,26,Real Betis,LaLiga,AC Milan,Serie A,2006-2007,6000000.0,15000000
Carlos Tévez,Second Striker,22,Corinthians,Série A,West Ham,Premier League,2006-2007,15000000.0,14600000
Javier Mascherano,Defensive Midfield,22,Corinthians,Série A,West Ham,Premier League,2006-2007,11800000.0,14600000
Khalid Boulahrouz,Centre-Back,24,Hamburger SV,1.Bundesliga,Chelsea,Premier League,2006-2007,13000000.0,13200000
Ashley Young,Left Midfield,21,Watford,Premier League,Aston Villa,Premier League,2006-2007,6500000.0,13200000
David Pizarro,Central Midfield,26,Inter,Serie A,AS Roma,Serie A,2006-2007,8000000.0,13000000
Didier Zokora,Defensive Midfield,25,Saint-Étienne,Ligue 1,Spurs,Premier League,2006-2007,12500000.0,12350000
Eidur Gudjohnsen,Centre-Forward,27,Chelsea,Premier League,FC Barcelona,LaLiga,2006-2007,12000000.0,12000000
Pablo Aimar,Attacking Midfield,26,Valencia CF,LaLiga,Real Zaragoza,LaLiga,2006-2007,18000000.0,11000000
Cani,Attacking Midfield,24,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2006-2007,11000000.0,11000000
Tomás Rosicky,Attacking Midfield,25,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2006-2007,11000000.0,10000000
Francesco Tavano,Centre-Forward,27,FC Empoli,Serie A,Valencia CF,LaLiga,2006-2007,8500000.0,10000000
Pascal Chimbonda,Right-Back,27,Wigan,Premier League,Spurs,Premier League,2006-2007,4000000.0,10000000
Craig Bellamy,Left Winger,26,Blackburn,Premier League,Liverpool,Premier League,2006-2007,9000000.0,9000000
Javier Chevantón,Centre-Forward,25,Monaco,Ligue 1,Sevilla FC,LaLiga,2006-2007,7000000.0,8900000
Robert Huth,Centre-Back,21,Chelsea,Premier League,Middlesbrough,Premier League,2006-2007,2750000.0,8900000
Amauri,Centre-Forward,26,Chievo Verona,Serie A,US Palermo,Serie A,2006-2007,4000000.0,8750000
Rafael Sóbis,Centre-Forward,21,Internacional,Série A,Real Betis,LaLiga,2006-2007,7500000.0,8500000
Daniel Van Buyten,Centre-Back,28,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2006-2007,14000000.0,8000000
Kim Källström,Defensive Midfield,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7500000.0,8000000
Nilmar,Centre-Forward,21,Olympique Lyon,Ligue 1,Corinthians,Série A,2006-2007,6000000.0,8000000
Massimo Oddo,Right-Back,30,Lazio,Serie A,AC Milan,Serie A,2006-2007,10000000.0,7750000
Ronaldo,Centre-Forward,30,Real Madrid,LaLiga,AC Milan,Serie A,2006-2007,27500000.0,7500000
Asier del Horno,Left-Back,25,Chelsea,Premier League,Valencia CF,LaLiga,2006-2007,12000000.0,7500000
Ederson,Attacking Midfield,20,Juventude,Série A,OGC Nice,Ligue 1,2006-2007,1500000.0,7500000
Ashley Cole,Left-Back,25,Arsenal,Premier League,Chelsea,Premier League,2006-2007,17000000.0,7400000
Jérémy Toulalan,Defensive Midfield,22,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7000000.0,7000000
Maicon,Right-Back,24,Monaco,Ligue 1,Inter,Serie A,2006-2007,7000000.0,6800000
Luís Boa Morte,Left Midfield,29,Fulham,Premier League,West Ham,Premier League,2006-2007,3500000.0,6800000
Mido,Centre-Forward,23,AS Roma,Serie A,Spurs,Premier League,2006-2007,10500000.0,6750000
Marcelo,Left-Back,18,Fluminense,Série A,Real Madrid,LaLiga,2006-2007,6500000.0,6500000
Stefan Kießling,Centre-Forward,22,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2006-2007,5000000.0,6500000
David Odonkor,Right Winger,22,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2006-2007,4500000.0,6500000
Stephen Makinwa,Centre-Forward,22,US Palermo,Serie A,Lazio,Serie A,2006-2007,4000000.0,6300000
Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,5000000.0,6250000
Mark van Bommel,Defensive Midfield,29,FC Barcelona,LaLiga,Bayern Munich ,1.Bundesliga,2006-2007,12000000.0,6000000
Ilan,Centre-Forward,25,FC Sochaux,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,5000000.0,6000000
Fernando Navarro,Left-Back,24,FC Barcelona,LaLiga,RCD Mallorca,LaLiga,2006-2007,2500000.0,6000000
Sébastien Frey,Goalkeeper,26,Parma,Serie A,Fiorentina,Serie A,2006-2007,15000000.0,5750000
Fabio Grosso,Left-Back,28,US Palermo,Serie A,Inter,Serie A,2006-2007,7000000.0,5500000
Daniel Moreira,Second Striker,28,Toulouse,Ligue 1,Stade Rennais,Ligue 1,2006-2007,7000000.0,5500000
Mario Santana,Second Striker,24,US Palermo,Serie A,Fiorentina,Serie A,2006-2007,6500000.0,5500000
Fábio Simplício,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,2006-2007,6000000.0,5500000
Souleymane Diawara,Centre-Back,27,FC Sochaux,Ligue 1,Charlton,Premier League,2006-2007,4000000.0,5400000
Emiliano Bonazzoli,Centre-Forward,27,Parma,Serie A,Sampdoria,Serie A,2006-2007,5000000.0,5250000
Fernando Morientes,Centre-Forward,30,Liverpool,Premier League,Valencia CF,LaLiga,2006-2007,10000000.0,5000000
Benoît Pedretti,Defensive Midfield,25,Olympique Lyon,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,6000000.0,5000000
Pierre-Alain Frau,Centre-Forward,26,Olympique Lyon,Ligue 1,Paris SG,Ligue 1,2006-2007,4500000.0,5000000
Benoît Assou-Ekotto,Left-Back,22,Lens,Ligue 1,Spurs,Premier League,2006-2007,2800000.0,5000000
Denílson,Defensive Midfield,18,São Paulo,Série A,Arsenal,Premier League,2006-2007,,5000000
Per Mertesacker,Centre-Back,21,Hannover 96,1.Bundesliga,Werder Bremen,1.Bundesliga,2006-2007,10000000.0,4700000
Nelson Valdez,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2006-2007,5000000.0,4700000
Riki,Centre-Forward,25,Getafe CF,LaLiga,Dep. La Coruña,LaLiga,2006-2007,6000000.0,4640000
Sébastien Squillaci,Centre-Back,25,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7500000.0,4500000
Olivier Thomert,Left Midfield,26,Lens,Ligue 1,Stade Rennais,Ligue 1,2006-2007,6500000.0,4500000
Paulo André,Centre-Back,22,Atlético-PR,Série A,Le Mans,Ligue 1,2006-2007,6000000.0,4500000
Franck Queudrue,Left-Back,27,Middlesbrough,Premier League,Fulham,Premier League,2006-2007,4500000.0,4500000
Johann Vogel,Defensive Midfield,29,AC Milan,Serie A,Real Betis,LaLiga,2006-2007,4500000.0,4500000
Yoann Gourcuff,Attacking Midfield,19,Stade Rennais,Ligue 1,AC Milan,Serie A,2006-2007,3500000.0,4500000
Andy Reid,Left Midfield,23,Spurs,Premier League,Charlton,Premier League,2006-2007,5700000.0,4200000
Calum Davenport,Centre-Back,24,Spurs,Premier League,West Ham,Premier League,2006-2007,1500000.0,4200000
Fábio Santos,Defensive Midfield,26,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2006-2007,,4200000
Alex Frei,Centre-Forward,26,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,2006-2007,10000000.0,4100000
Simone Barone,Central Midfield,28,US Palermo,Serie A,Torino,Serie A,2006-2007,6000000.0,4100000
Jason Roberts,Centre-Forward,28,Wigan,Premier League,Blackburn,Premier League,2006-2007,3850000.0,4080000
Mista,Centre-Forward,27,Valencia CF,LaLiga,Atlético Madrid,LaLiga,2006-2007,8280000.0,4000000
Péguy Luyindula,Centre-Forward,27,Marseille,Ligue 1,Paris SG,Ligue 1,2006-2007,5000000.0,4000000
Matt Moussilou,Centre-Forward,24,LOSC Lille,Ligue 1,OGC Nice,Ligue 1,2006-2007,5000000.0,4000000
Mariano Pernía,Left-Back,29,Getafe CF,LaLiga,Atlético Madrid,LaLiga,2006-2007,4500000.0,4000000
Andreas Hinkel,Right-Back,24,VfB Stuttgart,1.Bundesliga,Sevilla FC,LaLiga,2006-2007,4000000.0,4000000
Frédéric Thomas,Central Midfield,25,Le Mans,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,4000000.0,4000000
Álvaro Arbeloa,Right-Back,24,Dep. La Coruña,LaLiga,Liverpool,Premier League,2006-2007,1300000.0,3900000
Jimmy Bullard,Central Midfield,27,Wigan,Premier League,Fulham,Premier League,2006-2007,4500000.0,3750000
Jérémy Ménez,Second Striker,19,FC Sochaux,Ligue 1,Monaco,Ligue 1,2006-2007,3500000.0,3500000
Stefano Mauri,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000.0,3500000
Diego Rivas,Central Midfield,26,Getafe CF,LaLiga,Real Sociedad,LaLiga,2006-2007,1500000.0,3500000
Daniele Bonera,Centre-Back,25,Parma,Serie A,AC Milan,Serie A,2006-2007,6000000.0,3300000
Pasquale Foggia,Attacking Midfield,23,AC Milan,Serie A,Lazio,Serie A,2006-2007,2500000.0,3150000
Johan Micoud,Attacking Midfield,32,Werder Bremen,1.Bundesliga,G. Bordeaux,Ligue 1,2006-2007,8500000.0,3000000
Steed Malbranque,Central Midfield,26,Fulham,Premier League,Spurs,Premier League,2006-2007,8200000.0,3000000
Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Man City,Premier League,2006-2007,6000000.0,3000000
Juan Pablo Sorín,Left-Back,30,Villarreal CF,LaLiga,Hamburger SV,1.Bundesliga,2006-2007,5500000.0,3000000
Bernardo Corradi,Centre-Forward,30,Valencia CF,LaLiga,Man City,Premier League,2006-2007,4000000.0,3000000
Erjon Bogdani,Centre-Forward,29,Siena,Serie A,Chievo Verona,Serie A,2006-2007,3250000.0,3000000
Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,Premier League,2006-2007,3000000.0,3000000
Cribari,Centre-Back,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000.0,3000000
Yohan Hautcoeur,Central Midfield,24,Le Mans,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,3000000.0,3000000
José Manuel Jurado,Attacking Midfield,20,Real Madrid,LaLiga,Atlético Madrid,LaLiga,2006-2007,3000000.0,3000000
Amdy Fayé,Defensive Midfield,29,Newcastle,Premier League,Charlton,Premier League,2006-2007,2500000.0,3000000
Abdoulaye Fayé,Centre-Back,28,Lens,Ligue 1,Bolton,Premier League,2006-2007,2400000.0,3000000
Pascal Cygan,Centre-Back,32,Arsenal,Premier League,Villarreal CF,LaLiga,2006-2007,1400000.0,3000000
Michel Bastos,Left Midfield,22,Atlético-PR,Série A,LOSC Lille,Ligue 1,2006-2007,1000000.0,3000000
Christian Maggio,Right-Back,24,Fiorentina,Serie A,Sampdoria,Serie A,2006-2007,800000.0,3000000
Bolívar,Centre-Back,25,Internacional,Série A,Monaco,Ligue 1,2006-2007,,3000000
Tinga,Central Midfield,28,Internacional,Série A,Bor. Dortmund,1.Bundesliga,2006-2007,3000000.0,2900000
Mohamed Zidan,Second Striker,25,Werder Bremen,1.Bundesliga,1.FSV Mainz 05,1.Bundesliga,2006-2007,3000000.0,2800000
Djimi Traoré,Centre-Back,26,Liverpool,Premier League,Charlton,Premier League,2006-2007,2500000.0,2800000
Modeste M'Bami,Defensive Midfield,23,Paris SG,Ligue 1,Marseille,Ligue 1,2006-2007,5000000.0,2500000
Kevin Kilbane,Left Midfield,29,Everton,Premier League,Wigan,Premier League,2006-2007,4500000.0,2500000
Luigi Pieroni,Centre-Forward,26,AJ Auxerre,Ligue 1,FC Nantes,Ligue 1,2006-2007,4000000.0,2500000
Fernando Torres,Centre-Forward,23,Atlético Madrid,LaLiga,Liverpool,Premier League,2007-2008,30000000.0,38000000
Arjen Robben,Right Winger,23,Chelsea,Premier League,Real Madrid,LaLiga,2007-2008,22800000.0,35000000
Franck Ribéry,Left Winger,24,Marseille,Ligue 1,Bayern Munich ,1.Bundesliga,2007-2008,23000000.0,30000000
Owen Hargreaves,Defensive Midfield,26,Bayern Munich ,1.Bundesliga,Man Utd,Premier League,2007-2008,25000000.0,25000000
Thierry Henry,Centre-Forward,29,Arsenal,Premier League,FC Barcelona,LaLiga,2007-2008,45000000.0,24000000
Alexandre Pato,Centre-Forward,17,Internacional,Série A,AC Milan,Serie A,2007-2008,4000000.0,24000000
Diego Forlán,Second Striker,28,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2007-2008,9000000.0,21000000
Gabriel Milito,Centre-Back,26,Real Zaragoza,LaLiga,FC Barcelona,LaLiga,2007-2008,14000000.0,20000000
Florent Malouda,Central Midfield,27,Olympique Lyon,Ligue 1,Chelsea,Premier League,2007-2008,21000000.0,19000000
Nicolas Anelka,Centre-Forward,28,Bolton,Premier League,Chelsea,Premier League,2007-2008,20000000.0,18000000
Abdul Kader Keita,Right Winger,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2007-2008,18000000.0,16800000
Yakubu Aiyegbeni,Centre-Forward,24,Middlesbrough,Premier League,Everton,Premier League,2007-2008,12000000.0,16500000
Cristian Chivu,Centre-Back,26,AS Roma,Serie A,Inter,Serie A,2007-2008,15000000.0,16000000
Miroslav Klose,Centre-Forward,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2007-2008,23000000.0,15000000
Éric Abidal,Left-Back,27,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2007-2008,13500000.0,15000000
Nikola Zigic,Centre-Forward,26,Racing,LaLiga,Valencia CF,LaLiga,2007-2008,10000000.0,14000000
Tiago,Central Midfield,26,Olympique Lyon,Ligue 1,Juventus,Serie A,2007-2008,15000000.0,13000000
David Suazo,Centre-Forward,27,Cagliari Calcio,Serie A,Inter,Serie A,2007-2008,13000000.0,13000000
Raúl García,Attacking Midfield,20,CA Osasuna,LaLiga,Atlético Madrid,LaLiga,2007-2008,12000000.0,13000000
Rolando Bianchi,Centre-Forward,24,Reggina,Serie A,Man City,Premier League,2007-2008,8500000.0,13000000
Nigel Reo-Coker,Defensive Midfield,23,West Ham,Premier League,Aston Villa,Premier League,2007-2008,4300000.0,12500000
José Antonio Reyes,Right Winger,23,Arsenal,Premier League,Atlético Madrid,LaLiga,2007-2008,16700000.0,12000000
Gabriel Heinze,Centre-Back,29,Man Utd,Premier League,Real Madrid,LaLiga,2007-2008,13000000.0,12000000
Breno,Centre-Back,18,São Paulo,Série A,Bayern Munich ,1.Bundesliga,2007-2008,12000000.0,12000000
Kieron Dyer,Right Midfield,28,Newcastle,Premier League,West Ham,Premier League,2007-2008,9200000.0,12000000
Younès Kaboul,Centre-Back,21,AJ Auxerre,Ligue 1,Spurs,Premier League,2007-2008,7500000.0,12000000
Javier Arizmendi,Centre-Forward,23,Dep. La Coruña,LaLiga,Valencia CF,LaLiga,2007-2008,6000000.0,12000000
Vincenzo Iaquinta,Centre-Forward,27,Udinese Calcio,Serie A,Juventus,Serie A,2007-2008,12000000.0,11300000
Craig Bellamy,Left Winger,28,Liverpool,Premier League,West Ham,Premier League,2007-2008,12000000.0,11250000
Luca Toni,Centre-Forward,30,Fiorentina,Serie A,Bayern Munich ,1.Bundesliga,2007-2008,28500000.0,11000000
Mohamed Sissoko,Defensive Midfield,23,Liverpool,Premier League,Juventus,Serie A,2007-2008,9000000.0,11000000
Jonathan Woodgate,Centre-Back,28,Middlesbrough,Premier League,Spurs,Premier League,2007-2008,7500000.0,10800000
Sulley Muntari,Central Midfield,22,Udinese Calcio,Serie A,Portsmouth,Premier League,2007-2008,7000000.0,10510000
Jorge Andrade,Centre-Back,29,Dep. La Coruña,LaLiga,Juventus,Serie A,2007-2008,12500000.0,10000000
Giuseppe Rossi,Centre-Forward,20,Man Utd,Premier League,Villarreal CF,LaLiga,2007-2008,6500000.0,10000000
Lucas Leiva,Defensive Midfield,20,Grêmio,Série A,Liverpool,Premier League,2007-2008,6000000.0,10000000
John Utaka,Left Winger,25,Stade Rennais,Ligue 1,Portsmouth,Premier League,2007-2008,5500000.0,10000000
Scott Parker,Central Midfield,26,Newcastle,Premier League,West Ham,Premier League,2007-2008,12000000.0,9700000
Jonathan Woodgate,Centre-Back,27,Real Madrid,LaLiga,Middlesbrough,Premier League,2007-2008,11000000.0,9600000
Jermain Defoe,Centre-Forward,25,Spurs,Premier League,Portsmouth,Premier League,2007-2008,11500000.0,9300000
Julien Faubert,Defensive Midfield,24,G. Bordeaux,Ligue 1,West Ham,Premier League,2007-2008,10500000.0,9150000
Cicinho,Right-Back,27,Real Madrid,LaLiga,AS Roma,Serie A,2007-2008,15000000.0,9000000
Djibril Cissé,Centre-Forward,25,Liverpool,Premier League,Marseille,Ligue 1,2007-2008,13500000.0,9000000
Sergio Almirón,Central Midfield,26,FC Empoli,Serie A,Juventus,Serie A,2007-2008,11000000.0,9000000
Yaya Touré,Central Midfield,24,Monaco,Ligue 1,FC Barcelona,LaLiga,2007-2008,11000000.0,9000000
Bacary Sagna,Right-Back,24,AJ Auxerre,Ligue 1,Arsenal,Premier League,2007-2008,6000000.0,9000000
Alan Smith,Central Midfield,26,Man Utd,Premier League,Newcastle,Premier League,2007-2008,5400000.0,9000000
Mido,Centre-Forward,24,Spurs,Premier League,Middlesbrough,Premier League,2007-2008,5900000.0,8800000
Fabio Grosso,Left-Back,29,Inter,Serie A,Olympique Lyon,Ligue 1,2007-2008,8500000.0,8700000
José Enrique,Left-Back,21,Villarreal CF,LaLiga,Newcastle,Premier League,2007-2008,800000.0,8700000
Joey Barton,Central Midfield,24,Man City,Premier League,Newcastle,Premier League,2007-2008,7400000.0,8600000
Kieran Richardson,Left-Back,22,Man Utd,Premier League,Sunderland,Premier League,2007-2008,5000000.0,8200000
Valeri Bojinov,Centre-Forward,21,Fiorentina,Serie A,Man City,Premier League,2007-2008,9750000.0,8000000
Rio Mavuba,Defensive Midfield,23,G. Bordeaux,Ligue 1,Villarreal CF,LaLiga,2007-2008,7500000.0,8000000
Karim Ziani,Attacking Midfield,24,FC Sochaux,Ligue 1,Marseille,Ligue 1,2007-2008,5500000.0,8000000
Boško Jankovic,Right Winger,23,RCD Mallorca,LaLiga,US Palermo,Serie A,2007-2008,5000000.0,8000000
Cléber Santana,Central Midfield,26,Santos FC,Série A,Atlético Madrid,LaLiga,2007-2008,,8000000
Kevin-Prince Boateng,Central Midfield,20,Hertha BSC,1.Bundesliga,Spurs,Premier League,2007-2008,4000000.0,7900000
Carlos Alberto,Attacking Midfield,22,Fluminense,Série A,Werder Bremen,1.Bundesliga,2007-2008,7500000.0,7800000
Leighton Baines,Left-Back,22,Wigan,Premier League,Everton,Premier League,2007-2008,7500000.0,7500000
Grafite,Centre-Forward,28,Le Mans,Ligue 1,VfL Wolfsburg,1.Bundesliga,2007-2008,4500000.0,7500000
Gary O'Neil,Central Midfield,24,Portsmouth,Premier League,Middlesbrough,Premier League,2007-2008,3750000.0,7500000
James McFadden,Second Striker,24,Everton,Premier League,Birmingham,Premier League,2007-2008,3000000.0,7500000
Domenico Criscito,Left-Back,20,Genoa,Serie A,Juventus,Serie A,2007-2008,1000000.0,7500000
Alou Diarra,Defensive Midfield,25,Olympique Lyon,Ligue 1,G. Bordeaux,Ligue 1,2007-2008,6500000.0,7400000
Fabio Quagliarella,Centre-Forward,24,Sampdoria,Serie A,Udinese Calcio,Serie A,2007-2008,10500000.0,7300000
Yossi Benayoun,Right Winger,27,West Ham,Premier League,Liverpool,Premier League,2007-2008,4500000.0,7300000
Martin Petrov,Left Winger,28,Atlético Madrid,LaLiga,Man City,Premier League,2007-2008,10000000.0,7000000
Lassana Diarra,Defensive Midfield,22,Arsenal,Premier League,Portsmouth,Premier League,2007-2008,7000000.0,7000000
Diego López,Goalkeeper,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2007-2008,2750000.0,7000000
Mathieu Bodmer,Centre-Back,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2007-2008,10000000.0,6800000
Juan,Centre-Back,28,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2007-2008,12000000.0,6300000
Alexis,Centre-Back,21,Getafe CF,LaLiga,Valencia CF,LaLiga,2007-2008,10000000.0,6000000
Frédéric Piquionne,Centre-Forward,28,Saint-Étienne,Ligue 1,Monaco,Ligue 1,2007-2008,8000000.0,6000000
Fabrice Muamba,Central Midfield,19,Arsenal,Premier League,Birmingham,Premier League,2007-2008,6000000.0,6000000
Francesco Tavano,Centre-Forward,28,Valencia CF,LaLiga,AS Livorno,Serie A,2007-2008,5750000.0,6000000
Jussiê,Attacking Midfield,23,Lens,Ligue 1,G. Bordeaux,Ligue 1,2007-2008,4500000.0,6000000
Zoumana Camara,Centre-Back,28,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2007-2008,4500000.0,6000000
Mark González,Left Winger,23,Liverpool,Premier League,Real Betis,LaLiga,2007-2008,3500000.0,6000000
Gary Cahill,Centre-Back,22,Aston Villa,Premier League,Bolton,Premier League,2007-2008,1500000.0,6000000
Steven Davis,Central Midfield,22,Aston Villa,Premier League,Fulham,Premier League,2007-2008,4600000.0,5900000
David López,Central Midfield,24,CA Osasuna,LaLiga,Athletic Bilbao,LaLiga,2007-2008,1500000.0,5800000
Juliano Belletti,Right-Back,31,FC Barcelona,LaLiga,Chelsea,Premier League,2007-2008,4500000.0,5500000
Marlon Harewood,Centre-Forward,27,West Ham,Premier League,Aston Villa,Premier League,2007-2008,4500000.0,5500000
Glen Johnson,Right-Back,22,Chelsea,Premier League,Portsmouth,Premier League,2007-2008,3700000.0,5500000
Marco Andreolli,Centre-Back,21,Inter,Serie A,AS Roma,Serie A,2007-2008,950000.0,5500000
Benjani,Centre-Forward,29,Portsmouth,Premier League,Man City,Premier League,2007-2008,5000000.0,5200000
Greg Halford,Centre-Back,22,Reading,Premier League,Sunderland,Premier League,2007-2008,400000.0,5200000
Émerson,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Serie A,2007-2008,16000000.0,5000000
Gaël Givet,Centre-Back,25,Monaco,Ligue 1,Marseille,Ligue 1,2007-2008,6500000.0,5000000
Kanga Akalé,Left Winger,26,AJ Auxerre,Ligue 1,Lens,Ligue 1,2007-2008,6000000.0,5000000
Papa Bouba Diop,Defensive Midfield,29,Fulham,Premier League,Portsmouth,Premier League,2007-2008,5500000.0,5000000
Benoît Cheyrou,Defensive Midfield,26,AJ Auxerre,Ligue 1,Marseille,Ligue 1,2007-2008,5000000.0,5000000
Giulio Migliaccio,Central Midfield,26,Atalanta,Serie A,US Palermo,Serie A,2007-2008,5000000.0,5000000
Roque Santa Cruz,Centre-Forward,25,Bayern Munich ,1.Bundesliga,Blackburn,Premier League,2007-2008,3000000.0,5000000
Mesut Özil,Attacking Midfield,19,FC Schalke 04,1.Bundesliga,Werder Bremen,1.Bundesliga,2007-2008,2500000.0,5000000
Dani Güiza,Centre-Forward,26,Getafe CF,LaLiga,RCD Mallorca,LaLiga,2007-2008,2000000.0,5000000
Michele Pazienza,Defensive Midfield,25,Fiorentina,Serie A,SSC Napoli,Serie A,2007-2008,2500000.0,4800000
Theofanis Gekas,Centre-Forward,27,VfL Bochum,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2007-2008,7000000.0,4700000
Matthew Taylor,Left Midfield,26,Portsmouth,Premier League,Bolton,Premier League,2007-2008,4000000.0,4700000
Zat Knight,Centre-Back,27,Fulham,Premier League,Aston Villa,Premier League,2007-2008,3300000.0,4700000
Freddie Ljungberg,Attacking Midfield,30,Arsenal,Premier League,West Ham,Premier League,2007-2008,8300000.0,4500000
Ludovic Giuly,Right Winger,30,FC Barcelona,LaLiga,AS Roma,Serie A,2007-2008,7000000.0,4500000
Carlos Diogo,Right-Back,23,Real Madrid,LaLiga,Real Zaragoza,LaLiga,2007-2008,6000000.0,4500000
Giandomenico Mesto,Right-Back,25,Reggina,Serie A,Udinese Calcio,Serie A,2007-2008,5500000.0,4500000
Ebi Smolarek,Centre-Forward,26,Bor. Dortmund,1.Bundesliga,Racing,LaLiga,2007-2008,4500000.0,4500000
Andrea Caracciolo,Centre-Forward,25,US Palermo,Serie A,Sampdoria,Serie A,2007-2008,4400000.0,4500000
Boubacar Sanogo,Centre-Forward,24,Hamburger SV,1.Bundesliga,Werder Bremen,1.Bundesliga,2007-2008,4000000.0,4500000
Mike Hanke,Centre-Forward,23,VfL Wolfsburg,1.Bundesliga,Hannover 96,1.Bundesliga,2007-2008,4000000.0,4500000
Reginaldo,Centre-Forward,23,Fiorentina,Serie A,Parma,Serie A,2007-2008,2500000.0,4500000
André-Pierre Gignac,Centre-Forward,21,FC Lorient,Ligue 1,Toulouse,Ligue 1,2007-2008,2000000.0,4500000
Fabrizio Miccoli,Centre-Forward,28,Juventus,Serie A,US Palermo,Serie A,2007-2008,6000000.0,4300000
David Rozehnal,Centre-Back,27,Paris SG,Ligue 1,Newcastle,Premier League,2007-2008,5000000.0,4300000
Leon Andreasen,Central Midfield,24,Werder Bremen,1.Bundesliga,Fulham,Premier League,2007-2008,2500000.0,4300000
Tim Howard,Goalkeeper,28,Man Utd,Premier League,Everton,Premier League,2007-2008,2750000.0,4200000
Seydou Keita,Central Midfield,27,Lens,Ligue 1,Sevilla FC,LaLiga,2007-2008,10000000.0,4000000
Luis García,Right Winger,29,Liverpool,Premier League,Atlético Madrid,LaLiga,2007-2008,9400000.0,4000000
Mauro Esposito,Right Winger,28,Cagliari Calcio,Serie A,AS Roma,Serie A,2007-2008,4500000.0,4000000
Florent Sinama-Pongolle,Second Striker,22,Liverpool,Premier League,Recr. Huelva,LaLiga,2007-2008,4500000.0,4000000
